,labels,ident,diff,%total,F-score
1,experience,92,0,0.0,100.0
2,skills,320,8,1.2345679012345678,98.76543209876544
3,knowledge,127,2,0.78125,99.21875
4,areas,40,10,11.11111111111111,88.8888888888889
5,diploma,5,0,0.0,100.0
6,major,10,0,0.0,100.0
