,labels,ident,diff,%total,F-score
1,experience,69,62,31.0,71.13402061855672
2,knowledge,83,79,32.244897959183675,70.042194092827
3,skills,186,257,40.85850556438791,60.685154975530175
4,diploma,5,2,16.666666666666664,83.33333333333334
5,major,12,10,29.411764705882355,70.58823529411765
6,areas,12,75,75.75757575757575,24.74226804123711
