,labels,ident,diff,%total,F-score
1,diploma,6,0,0.0,100.0
2,major,15,0,0.0,100.0
3,experience,183,0,0.0,100.0
4,areas,77,17,9.941520467836257,90.05847953216374
5,skills,583,17,1.4370245139475908,98.56297548605241
6,knowledge,210,0,0.0,100.0
