,SEO,Normal,N=1,N=2,N=3,N=4,N>=5
All_data,683,1010,941,439,155,77,81
Train,549,827,773,357,120,63,63
Val,61,83,75,40,15,7,7
Test,73,100,93,42,20,7,11
